;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
173;[Cl-].[Cl-].[Sn+2];;;76.3;;;;;66.0;4.0;;;;;;;;;;;;
174;[Cl-].[Cl-].[Zn+2];;;;;;;;23.0;-2.0;57.0;-39.0;;;;;;;;;;
175;[Cl-].[Cu+];;;75.7;;;;;60.0;-82.0;;;;;;;;;;;;
176;[Co+2];;;66.4;0.2;9.65;;;;;;;;;;;;2.16;;;;
177;[Cr+3];;;75.4;58.0;4.0;;;;;;;;;;;;;;;;
178;[Cs+];;;26.48;;;;;;;;;;;;;;15;;;;
179;[Cu+2];;;71.0;200.0;7.53;;;;;;;;;;;;2.44;;;;
180;[Dy+3];;;;63.0;8.0;;;;;;;;;;;;;;;;
181;[Er+3];;;;140.0;7.9;;;;;;;;;;;;;;;;
182;[Eu+3];;;;650.0;7.8;;;;;;;;;;;;;;;;
183;[F-].[F-].[F-].[F-].[F-].[Ir+5];563.0;;;;;;;;;;;;;;;;;;;;
184;[F-].[F-].[F-].[F-].[F-].[Mo+5];440.0;;;;;;;;;;;;;;;;;;;;
185;[F-].[F-].[F-].[F-].[F-].[Os+5];552.0;;;;;;;;;;;;;;;;;;;;
186;[F-].[F-].[F-].[F-].[F-].[Pd+5];533.0;;;;;;;;;;;;;;;;;;;;
187;[F-].[F-].[F-].[F-].[F-].[Pt+5];546.0;;;;;;;;;;;;;;;;;;;;
188;[F-].[F-].[F-].[F-].[F-].[Re+5];487.0;;;;;;;;;;;;;;;;;;;;
189;[F-].[F-].[F-].[F-].[F-].[Rh+5];506.0;;;;;;;;;;;;;;;;;;;;
190;[F-].[F-].[F-].[F-].[F-].[Ru+5];517.0;;;;;;;;;;;;;;;;;;;;
191;[F-].[F-].[F-].[F-].[F-].[Sb+5];506.0;439.0;;;;;;;;243.0;;;;;;;;;;;
192;[F-].[F-].[F-].[F-].[F-].[Tc+5];433.0;;;;;;;;;;;;;;;;;;;;
193;[F-].[F-].[F-].[F-].[F-].[W+5];472.0;;;;;;;;;;;;;;;;;;;;
194;[F-].[F-].[F-].[F-].[Ge+4];418.0;;;;;;;;;;;;;;;;;;;;
195;[F-].[F-].[F-].[F-].[Mo+4];382.0;;;;;;;;;;;;;;;;;;;;
196;[F-].[F-].[F-].[Ga+3];461.0;;;;;;;;;;;;;;;;;;;;
197;[F-].[F-].[F-].[In+3];450.0;;;;;;;;;;;;;;;;;;;;
